173.990000 149.860000 1	175.260000
184.658000 175.260000 0	167.640000
187.960000 172.720000 0	162.560000
172.720000 152.400000 0	142.240000
180.340000 170.180000 0	170.180000
172.720000 158.750000 1	168.910000
172.720000 149.860000 0	154.940000
182.880000 170.180000 0	170.180000
177.800000 165.100000 0	157.480000
175.260000 167.640000 0	158.750000
177.800000 172.720000 1	190.500000
180.340000 160.020000 0	160.020000
175.260000 157.480000 0	160.020000
177.800000 147.320000 0	160.020000
166.370000 152.400000 0	157.480000
180.340000 154.940000 0	157.480000
157.480000 167.640000 0	154.940000
172.720000 165.100000 0	167.640000
187.960000 166.370000 0	166.370000
167.640000 152.400000 0	152.400000
165.100000 166.370000 0	166.370000
180.340000 166.370000 0	165.100000
180.340000 157.480000 0	152.400000
175.768000 162.560000 0	161.290000
199.390000 170.180000 0	175.260000
172.720000 166.370000 0	156.210000
175.260000 173.990000 0	162.560000
172.720000 160.020000 0	154.940000
172.720000 162.560000 0	154.940000
185.420000 162.560000 0	162.560000
170.180000 161.290000 0	161.290000
165.100000 160.020000 0	160.020000
185.420000 165.100000 0	161.290000
182.880000 157.480000 0	161.290000
177.800000 170.180000 0	152.400000
176.530000 154.940000 0	157.480000
180.340000 165.100000 0	157.480000
162.560000 160.020000 1	163.830000
180.340000 162.560000 0	165.100000
175.260000 161.290000 0	154.940000
175.260000 160.020000 0	157.480000
185.928000 160.020000 0	159.258000
167.640000 160.020000 1	177.800000
190.500000 162.560000 0	160.020000
170.180000 162.560000 1	170.180000
182.118000 163.830000 0	170.180000
180.848000 160.020000 0	163.830000
167.640000 161.290000 0	157.480000
185.420000 168.910000 0	169.418000
175.260000 168.910000 0	154.940000
175.260000 165.100000 0	154.940000
175.260000 158.750000 0	157.480000
181.610000 163.830000 0	157.480000
187.960000 157.480000 0	160.020000
175.260000 154.940000 0	157.480000
170.180000 168.148000 0	161.290000
177.800000 148.590000 0	160.020000
190.500000 148.590000 0	158.750000
174.498000 157.480000 0	156.718000
167.640000 149.860000 0	144.780000
177.800000 175.260000 0	157.480000
187.960000 154.940000 0	165.100000
173.990000 161.290000 0	166.370000
177.800000 160.020000 0	154.940000
180.340000 147.320000 1	175.260000
174.498000 179.070000 0	156.718000
189.230000 167.640000 0	167.640000
165.100000 165.100000 0	149.860000
175.260000 170.180000 0	162.560000
167.640000 166.370000 0	165.100000
182.880000 162.560000 0	160.020000
177.800000 162.560000 0	157.480000
180.340000 158.750000 0	158.750000
178.562000 159.258000 0	160.528000
167.640000 156.210000 1	177.800000
185.420000 170.180000 1	170.180000
173.228000 161.290000 0	163.830000
182.880000 154.940000 0	166.878000
168.910000 158.750000 0	158.750000
177.800000 163.068000 0	152.654000
182.880000 160.020000 0	160.020000
172.720000 154.940000 0	160.020000
172.720000 152.908000 1	169.418000
165.100000 170.180000 0	160.020000
172.720000 163.830000 0	157.480000
177.800000 168.910000 0	161.798000
182.880000 165.100000 0	165.100000
184.150000 157.480000 0	165.100000
180.340000 175.260000 0	170.180000
170.180000 165.100000 0	157.480000
170.180000 160.020000 0	160.020000
158.750000 160.020000 0	144.780000
170.180000 154.940000 1	170.180000
180.340000 161.290000 0	161.290000
167.640000 167.640000 0	154.940000
182.880000 172.720000 0	172.720000
177.038000 157.480000 0	158.750000
191.770000 168.910000 0	166.370000
187.960000 168.910000 0	167.640000
165.100000 162.560000 0	153.670000
